"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","âˆšx (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"0","136.70222177386168","85.61236873239339","0","0","0.006000000000000005","0.007199999999999984","0.0048","1560","0.00029196917083524807","0","0.00029196917083524807","0.00029196917083524807","0_1:0.008067603768281445","0_1:68","true"
"1","130.777464413275","195.13604536015305","0","0","0.03249999999999997","0.0384","0.026599999999999957","1560","0.00018730741152343076","0","0.00018730741152343076","0.00018730741152343076","1_2:0.0022346431531366784;1_0:0.008067603768281445","1_2:68;1_0:68","true"
"2","58.73256210825351","120.2475166720865","0","0","0.022199999999999998","0.0212","0.0232","1560","0.00016799278564824934","0","0.00016799278564824934","0.00016799278564824934","2_3:0.0017667870917657258;2_1:0.0022346431531366784","2_3:68;2_1:68","true"
"3","156.19690329116065","274.09710633823386","0","0","0.03059999999999996","0.0278","0.033399999999999985","1560","0.00017513589260679534","0","0.00017513589260679534","0.00017513589260679534","3_16:0.0023742849107112607;3_4:0.0030523189801643924;3_2:0.0017667870917657258","3_16:68;3_4:68;3_2:68","true"
"4","189.3372229482318","112.92468700382962","0","0","0.0045999999999999375","0.0078","0.0013999999999999568","1560","0.0002582769034614662","0","0.0002582769034614662","0.0002582769034614662","4_3:0.0030523189801643924;4_5:0.006354481396668138","4_3:68;4_5:68","true"
"5","157.52972966782696","118.46861934889074","0","0","0.033299999999999996","0.0314","0.03520000000000001","1560","0.0001438374291035479","0","0.0001438374291035479","0.0001438374291035479","5_6:0.012090262505709187;5_4:0.006354481396668138","5_6:68;5_4:68","true"
"6","145.01051818383493","161.73335566111936","0","0","0.03080000000000005","0.0368","0.024800000000000044","1560","0.00021656571068649283","0","0.00021656571068649283","0.00021656571068649283","6_7:0.0028885105576639536;6_5:0.012090262505709187","6_7:68;6_5:68","true"
"7","108.12602620743658","63.28405305928529","0","0","0.0230999999999999","0.02959999999999996","0.0166","1560","0.0005067673871297947","0","0.0005067673871297947","0.0005067673871297947","7_17:0.0041657588550378655;7_8:0.002987929567149078;7_6:0.0028885105576639536","7_17:68;7_8:68;7_6:68","true"
"8","151.26168493605638","37.83909184124734","0","0","0.0047999999999999154","0.0082","0.0013999999999999568","1560","0.0003347552301418408","0","0.0003347552301418408","0.0003347552301418408","8_7:0.002987929567149078;8_9:0.0018975216278676044","8_7:68;8_9:68","true"
"9","185.79321479734247","74.39112245078684","0","0","0.02279999999999993","0.025000000000000022","0.0206","1560","0.00024033407208877698","0","0.00024033407208877698","0.00024033407208877698","9_10:0.001996773220973691;9_8:0.0018975216278676044","9_10:68;9_8:68","true"
"10","242.89275445609817","132.65847994267523","0","0","0.02960000000000007","0.028200000000000003","0.031","1560","0.00018617527651832417","0","0.00018617527651832417","0.00018617527651832417","10_11:0.0036833544861396006;10_9:0.001996773220973691","10_11:68;10_9:68","true"
"11","135.51547915686385","92.95780237933643","0","0","0.030899999999999928","0.0314","0.030399999999999983","1560","0.00021490394691786396","0","0.00021490394691786396","0.00021490394691786396","11_18:0.002028033169272636;11_12:0.0022343948692901128;11_10:0.0036833544861396006","11_18:68;11_12:68;11_10:68","true"
"12","65.92271081741316","87.05109694176952","0","0","0.01319999999999999","0.01539999999999997","0.011","1560","0.000327907985299896","0","0.000327907985299896","0.000327907985299896","12_11:0.0022343948692901128;12_13:0.002444201921366379","12_11:68;12_13:68","true"
"13","108.65589652299796","187.28065886622483","0","0","0.023399999999999976","0.0338","0.013000000000000012","1560","0.00033245556715326104","0","0.00033245556715326104","0.00033245556715326104","13_14:0.0016681632426102377;13_12:0.002444201921366379","13_14:68;13_12:68","true"
"14","193.42879813620812","104.9965857103103","0","0","0.02859999999999996","0.0332","0.02400000000000002","1560","0.0002475815863405639","0","0.0002475815863405639","0.0002475815863405639","14_15:0.0032068163558997276;14_13:0.0016681632426102377","14_15:68;14_13:68","true"
"15","191.85162766020773","172.92913897810118","0","0","0.015800000000000036","0.015800000000000036","0.0158","1560","0.00015982156298404736","0","0.00015982156298404736","0.00015982156298404736","15_19:0.0026739022377378074;15_14:0.0032068163558997276","15_19:68;15_14:68","true"
"16","57.606151719359296","64.55914054730792","0","0","0.03859999999999997","0.04359999999999997","0.0336","1560","0.0003830586961319781","0","0.0003830586961319781","0.0003830586961319781","16_23:0.0025751075896107145;16_3:0.0023742849107112607","16_23:68;16_3:68","true"
"17","127.55714951717167","88.90174594862145","0","0","0.013600000000000056","0.014","0.01319999999999999","1560","0.0002416759219397031","0","0.0002416759219397031","0.0002416759219397031","17_27:0.009518812794921366;17_7:0.0041657588550378655","17_27:68;17_7:68","true"
"18","196.755351549991","70.2461580916675","0","0","0.01880000000000004","0.022800000000000042","0.0148","1560","0.00032110291639959567","0","0.00032110291639959567","0.00032110291639959567","18_31:0.0026251487630869763;18_11:0.002028033169272636","18_31:68;18_11:68","true"
"19","212.34979883877048","178.76944134944657","0","0","0.022299999999999986","0.027200000000000002","0.0174","1560","0.0003994348446570695","0","0.0003994348446570695","0.0003994348446570695","19_15:0.0026739022377378074;19_35:0.002070897366523744","19_15:68;19_35:68","true"
"20","229.85099086607764","171.4852171769518","0","0","0.03410000000000002","0.03420000000000001","0.034","1560","0.0014845984821292698","0","0.0014845984821292698","0.0014845984821292698","20_21:0.008326369820163798","20_21:68","true"
"21","176.61588883513912","178.8425769098413","0","0","0.011199999999999988","0.015199999999999991","0.0072","1560","0.00022380672860760026","0","0.00022380672860760026","0.00022380672860760026","21_36:0.006139702800175922;21_22:0.0025588158774358383;21_20:0.008326369820163798","21_36:68;21_22:68;21_20:68","true"
"22","144.00911470870267","118.85267196014864","0","0","0.013299999999999979","0.015000000000000013","0.0116","1560","0.00021850074355875138","0","0.00021850074355875138","0.00021850074355875138","22_23:0.001805974471617816;22_21:0.0025588158774358383","22_23:68;22_21:68","true"
"23","151.2101846233715","201.72023227139945","0","0","0.005300000000000082","0.006000000000000005","0.0046","1560","0.00019130571750428254","0","0.00019130571750428254","0.00019130571750428254","23_24:0.0022837168727175283;23_22:0.001805974471617816;23_16:0.0025751075896107145","23_24:68;23_22:68;23_16:68","true"
"24","74.96832003123829","46.20123342579665","0","0","0.017299999999999982","0.023399999999999976","0.0112","1560","0.0002899989817164048","0","0.0002899989817164048","0.0002899989817164048","24_23:0.0022837168727175283;24_25:0.04115607936721852","24_23:68;24_25:68","true"
"25","210.68101328542397","142.14463579500674","0","0","0.008299999999999974","0.0138","0.0028000000000000247","1560","0.000221319491318298","0","0.000221319491318298","0.000221319491318298","25_37:0.0039227472062100255;25_26:0.0039848213455523085;25_24:0.04115607936721852","25_37:68;25_26:68;25_24:68","true"
"26","124.63066803640604","134.2859553325867","0","0","0.03159999999999996","0.03959999999999997","0.0236","1560","0.00038483602827858433","0","0.00038483602827858433","0.00038483602827858433","26_27:0.009227042503676564;26_25:0.0039848213455523085","26_27:68;26_25:68","true"
"27","117.38014352480002","145.9346529143702","0","0","0.005800000000000027","0.0084","0.0031999999999999806","1560","0.0002480771646075529","0","0.0002480771646075529","0.0002480771646075529","27_26:0.009227042503676564;27_17:0.009518812794921366;27_28:1","27_26:68;27_17:68;27_28:68","true"
"28","195.81766729412374","110.18025222564283","0","0","0.015600000000000058","0.0162","0.015000000000000013","1560","0.00022121301453745785","0","0.00022121301453745785","0.00022121301453745785","28_29:0.006931817112348776;28_27:1","28_29:68;28_27:68","true"
"29","113.10500551357678","76.24673470350214","0","0","0.028699999999999948","0.03159999999999996","0.0258","1560","0.0002500737527245308","0","0.0002500737527245308","0.0002500737527245308","29_38:0.0020087819890608483;29_30:0.0022179030307707404;29_28:0.006931817112348776","29_38:68;29_30:68;29_28:68","true"
"30","137.07561872207336","125.6729157748783","0","0","0.006399999999999961","0.0086","0.0041999999999999815","1560","0.0001856819847286959","0","0.0001856819847286959","0.0001856819847286959","30_31:0.0036932132549877816;30_29:0.0022179030307707404","30_31:68;30_29:68","true"
"31","85.63890091374046","80.69530738441483","0","0","0.0121","0.018","0.006199999999999983","1560","0.0003123227421399567","0","0.0003123227421399567","0.0003123227421399567","31_30:0.0036932132549877816;31_18:0.0026251487630869763;31_32:1","31_30:68;31_18:68;31_32:68","true"
"32","70.73816236430278","88.06133323029867","0","0","0.014599999999999946","0.01739999999999997","0.0118","1560","0.00026571432814701467","0","0.00026571432814701467","0.00026571432814701467","32_31:1;32_33:1","32_31:68;32_33:68","true"
"33","94.18656174596059","154.82559897615604","0","0","0.016699999999999937","0.017800000000000038","0.0156","1560","0.00024049513607749448","0","0.00024049513607749448","0.00024049513607749448","33_39:0.002373684868423348;33_34:0.002584233405720615;33_32:1","33_39:68;33_34:68;33_32:68","true"
"34","177.8362386339125","59.05782856141737","0","0","0.009199999999999986","0.012","0.006399999999999961","1560","0.0003444532030198493","0","0.0003444532030198493","0.0003444532030198493","34_35:0.002072457882919876;34_33:0.002584233405720615","34_35:68;34_33:68","true"
"35","49.67594085010461","70.28490487020208","0","0","0.014699999999999935","0.01539999999999997","0.014","1560","0.0001934331658813482","0","0.0001934331658813482","0.0001934331658813482","35_34:0.002072457882919876;35_19:0.002070897366523744","35_34:68;35_19:68","true"
"36","179.50604241192403","128.55477563574462","0","0","0.010099999999999998","0.01319999999999999","0.007","1560","0.0007178908849106962","0","0.0007178908849106962","0.0007178908849106962","36_41:0.0018724166374569085;36_21:0.006139702800175922","36_41:68;36_21:68","true"
"37","141.42594568243615","210.09596433162537","0","0","0.019399999999999973","0.020199999999999996","0.0186","1560","0.00024809426661809005","0","0.00024809426661809005","0.00024809426661809005","37_45:0.0021398141953214156;37_25:0.0039227472062100255","37_45:68;37_25:68","true"
"38","191.6057361830187","183.60732342439394","0","0","0.02079999999999993","0.0256","0.016000000000000014","1560","0.0003699903388243682","0","0.0003699903388243682","0.0003699903388243682","38_49:0.00358042792431279;38_29:0.0020087819890608483","38_49:68;38_29:68","true"
"39","67.45174769716628","151.75493453923838","0","0","0.020299999999999985","0.0246","0.016000000000000014","1560","0.0005578958614856412","0","0.0005578958614856412","0.0005578958614856412","39_33:0.002373684868423348;39_53:0.003768920133319087","39_33:68;39_53:68","true"
"40","166.02661136749362","115.64379904298069","0","0","0.006199999999999983","0.01","0.0023999999999999577","1560","0.00022638396486906114","0","0.00022638396486906114","0.00022638396486906114","40_41:0.0023498112969253804","40_41:68","true"
"41","119.79888764432053","98.6013112899998","0","0","0.15490000000000004","0.17700000000000005","0.1328","1560","0.0001680077102285004","0","0.0001680077102285004","0.0001680077102285004","41_42:0.003042690702794476;41_40:0.0023498112969253804;41_36:0.0018724166374569085","41_42:68;41_40:68;41_36:68","true"
"42","41.062435550234795","26.731932302910092","0","0","0.04810000000000003","0.054","0.042200000000000015","1560","0.00033437561114977557","0","0.00033437561114977557","0.00033437561114977557","42_41:0.003042690702794476;42_43:0.005099988714232256","42_41:68;42_43:68","true"
"43","146.66015103105929","64.12899665516655","0","0","0.06519999999999992","0.0776","0.0528","1560","0.00021758995880987833","0","0.00021758995880987833","0.00021758995880987833","43_56:0.002353382104002738;43_44:0.0019777175375136347;43_42:0.005099988714232256","43_56:68;43_44:68;43_42:68","true"
"44","58.95165999228754","110.9008491571068","0","0","0.0042999999999999705","0.007399999999999962","0.0012","1560","0.0003585585711242543","0","0.0003585585711242543","0.0003585585711242543","44_45:0.0018740487434507902;44_43:0.0019777175375136347","44_45:68;44_43:68","true"
"45","150.53924108576237","143.6997894905012","0","0","0.019199999999999995","0.0218","0.016599999999999948","1560","0.0001745069207828051","0","0.0001745069207828051","0.0001745069207828051","45_46:0.003827578181021779;45_44:0.0018740487434507902;45_37:0.0021398141953214156","45_46:68;45_44:68;45_37:68","true"
"46","100.46337086058111","13.384850628166822","0","0","0.031399999999999983","0.03759999999999997","0.0252","1560","0.000557698145779272","0","0.000557698145779272","0.000557698145779272","46_45:0.003827578181021779;46_47:0.003242962276630318","46_45:68;46_47:68","true"
"47","166.59379604134998","59.58333347616874","0","0","0.03269999999999995","0.0322","0.03320000000000001","1560","0.00021909958263961358","0","0.00021909958263961358","0.00021909958263961358","47_57:0.002224575381772953;47_48:0.001924842613429345;47_46:0.003242962276630318","47_57:68;47_48:68;47_46:68","true"
"48","161.70077792774228","17.443605026386475","0","0","0.007500000000000062","0.0094","0.005600000000000049","1560","0.00035090986405644385","0","0.00035090986405644385","0.00035090986405644385","48_49:0.00269312298392696;48_47:0.001924842613429345","48_49:68;48_47:68","true"
"49","119.22120995943038","34.37230951086442","0","0","0.03959999999999997","0.0404","0.038799999999999946","1560","0.00035716694836534883","0","0.00035716694836534883","0.00035716694836534883","49_50:0.003319765950964171;49_48:0.00269312298392696;49_38:0.00358042792431279","49_50:68;49_48:68;49_38:68","true"
"50","165.85262478323085","87.79878406175189","0","0","0.05669999999999997","0.0666","0.04679999999999995","1560","0.0002460317796831702","0","0.0002460317796831702","0.0002460317796831702","50_51:0.002184562042793603;50_49:0.003319765950964171","50_51:68;50_49:68","true"
"51","90.18456978907753","118.92142113969823","0","0","0.06340000000000001","0.0698","0.05700000000000005","1560","0.0002092341306948047","0","0.0002092341306948047","0.0002092341306948047","51_50:0.002184562042793603;51_58:0.00244042007923595;51_52:0.0030155066203737813","51_50:68;51_58:68;51_52:68","true"
"52","146.67599954893507","49.736524830038356","0","0","0.018399999999999972","0.0194","0.01739999999999997","1560","0.00032545653803321386","0","0.00032545653803321386","0.00032545653803321386","52_53:0.004098873697719524;52_51:0.0030155066203737813","52_53:68;52_51:68","true"
"53","83.2747416280348","14.295152864988072","0","0","0.18320000000000003","0.21519999999999995","0.1512","1560","0.00019766411940276682","0","0.00019766411940276682","0.00019766411940276682","53_54:0.016664965631004947;53_52:0.004098873697719524;53_39:0.003768920133319087","53_54:68;53_52:68;53_39:68","true"
"54","108.04160467335107","14.619919302149476","0","0","0.13250000000000006","0.12160000000000004","0.1434","1560","0.0014633193306970037","0","0.0014633193306970037","0.0014633193306970037","54_55:0.007619395612721069;54_53:0.016664965631004947","54_55:68;54_53:68","true"
"55","70.76864062291268","12.861422837940538","0","0","0.19730000000000003","0.2086","0.186","1560","0.00046586792867058685","0","0.00046586792867058685","0.00046586792867058685","55_54:0.007619395612721069;55_59:0.004870780565050026","55_54:68;55_59:68","true"
"56","89.13591967514016","159.30471729824993","0","0","0.01200000000000001","0.016","0.008000000000000007","1560","0.0003462336199263853","0","0.0003462336199263853","0.0003462336199263853","56_63:0.0086842052236554;56_43:0.002353382104002738","56_63:68;56_43:68","true"
"57","131.13577720175743","58.27758568140121","0","0","0.006899999999999906","0.009399999999999964","0.0044","1560","0.00023373283692029045","0","0.00023373283692029045","0.00023373283692029045","57_67:0.004231385918515074;57_47:0.002224575381772953","57_67:68;57_47:68","true"
"58","139.900562208733","148.35033829361336","0","0","0.02760000000000007","0.03720000000000001","0.018","1560","0.0003996475633175775","0","0.0003996475633175775","0.0003996475633175775","58_51:0.00244042007923595;58_71:0.001746175935091493","58_51:68;58_71:68","true"
"59","105.69266356978571","17.397318149283095","0","0","0.04410000000000003","0.0414","0.04679999999999995","1560","0.0005619360680661527","0","0.0005619360680661527","0.0005619360680661527","59_55:0.004870780565050026;59_75:0.004183356670160482","59_55:68;59_75:68","true"
"60","166.1871720387893","27.23654739707365","0","0","0.007600000000000051","0.013800000000000034","0.0014","1560","0.00028453518227404014","0","0.00028453518227404014","0.00028453518227404014","60_61:0.0021115019505736077","60_61:68","true"
"61","145.51462326224478","147.5472572522654","0","0","0.03269999999999995","0.0294","0.03600000000000003","1560","0.00025757488605954024","0","0.00025757488605954024","0.00025757488605954024","61_76:0.0027129244074369507;61_62:0.0026828686022296877;61_60:0.0021115019505736077","61_76:68;61_62:68;61_60:68","true"
"62","95.76438584613466","32.07298135411956","0","0","0.014100000000000001","0.015","0.01319999999999999","1560","0.00032590255603111453","0","0.00032590255603111453","0.00032590255603111453","62_63:0.008924697079984056;62_61:0.0026828686022296877","62_63:68;62_61:68","true"
"63","147.0344057399911","18.96224521902042","0","0","0.009500000000000064","0.015000000000000013","0.004","1560","0.0011178950526374342","0","0.0011178950526374342","0.0011178950526374342","63_64:0.04008052237457724;63_62:0.008924697079984056;63_56:0.0086842052236554","63_64:68;63_62:68;63_56:68","true"
"64","117.57473040607454","80.55504331015626","0","0","0.0605","0.0566","0.06440000000000001","1560","0.0006575758945317066","0","0.0006575758945317066","0.0006575758945317066","64_63:0.04008052237457724;64_65:0.0036258277009281192","64_63:68;64_65:68","true"
"65","25.16496237106497","43.4502132352654","0","0","0.016100000000000003","0.026000000000000023","0.0062","1560","0.0004382187391082094","0","0.0004382187391082094","0.0004382187391082094","65_77:0.005033324717251014;65_66:0.0027613315263271265;65_64:0.0036258277009281192","65_77:68;65_66:68;65_64:68","true"
"66","88.61022544193757","15.453749772821414","0","0","0.008499999999999952","0.0132","0.0038000000000000256","1560","0.0002700578675061229","0","0.0002700578675061229","0.0002700578675061229","66_67:0.0030320036353591595;66_65:0.0027613315263271265","66_67:68;66_65:68","true"
"67","118.89432427548773","67.2524338771092","0","0","0.05010000000000003","0.046599999999999975","0.0536","1560","0.0004772580502071984","0","0.0004772580502071984","0.0004772580502071984","67_68:0.004103603886811413;67_66:0.0030320036353591595;67_57:0.004231385918515074","67_68:68;67_66:68;67_57:68","true"
"68","73.08101252434152","111.18629067066071","0","0","0.061000000000000054","0.068","0.05400000000000005","1560","0.00023819468255817586","0","0.00023819468255817586","0.00023819468255817586","68_69:0.0023301152695851535;68_67:0.004103603886811413","68_69:68;68_67:68","true"
"69","112.59351813366038","78.6876552059477","0","0","0.03310000000000002","0.0362","0.030000000000000027","1560","0.00022391366203572174","0","0.00022391366203572174","0.00022391366203572174","69_68:0.0023301152695851535;69_78:0.002419782421591715;69_70:0.004858255998815092","69_68:68;69_78:68;69_70:68","true"
"70","81.67610923490315","32.09947123026103","0","0","0.0131","0.0176","0.008600000000000052","1560","0.0002666845614333648","0","0.0002666845614333648","0.0002666845614333648","70_71:0.003303607972887146;70_69:0.004858255998815092","70_71:68;70_69:68","true"
"71","96.55273523459256","129.06260500315156","0","0","0.010099999999999998","0.0124","0.007800000000000029","1560","0.0002519943306132463","0","0.0002519943306132463","0.0002519943306132463","71_72:0.03861142896755684;71_70:0.003303607972887146;71_58:0.001746175935091493","71_72:68;71_70:68;71_58:68","true"
"72","66.62341396366418","23.709247823295375","0","0","0.09109999999999996","0.08240000000000003","0.0998","1560","0.0002924028263393639","0","0.0002924028263393639","0.0002924028263393639","72_73:0.026102754745009865;72_71:0.03861142896755684","72_73:68;72_71:68","true"
"73","99.4196537435753","40.71513516767875","0","0","0.17389999999999994","0.17420000000000002","0.1736","1560","0.0003001799866842802","0","0.0003001799866842802","0.0003001799866842802","73_72:0.026102754745009865;73_74:0.004739697857093994;73_79:0.004773077550567689","73_72:68;73_74:68;73_79:68","true"
"74","101.51501885037324","20.767560883011715","0","0","0.052999999999999936","0.0524","0.0536","1560","0.0004296874434907764","0","0.0004296874434907764","0.0004296874434907764","74_75:0.005381915487311623;74_73:0.004739697857093994","74_75:68;74_73:68","true"
"75","110.53937402738305","45.796087917430235","0","0","0.01990000000000003","0.02300000000000002","0.0168","1560","0.00026083218184510935","0","0.00026083218184510935","0.00026083218184510935","75_74:0.005381915487311623;75_59:0.004183356670160482","75_74:68;75_59:68","true"
"76","127.92558472421541","95.29585563088202","0","0","0.005900000000000016","0.0084","0.0033999999999999586","1560","0.000292634532695366","0","0.000292634532695366","0.000292634532695366","76_81:0.006647872445790154;76_61:0.0027129244074369507","76_81:68;76_61:68","true"
"77","109.43140841565818","43.82950596184917","0","0","0.03380000000000005","0.032","0.035599999999999965","1560","0.0002988472277673525","0","0.0002988472277673525","0.0002988472277673525","77_85:0.0028426758796775142;77_65:0.005033324717251014","77_85:68;77_65:68","true"
